"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 21:30:51 GMT 2023","Sun May 07 21:30:52 GMT 2023","784","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","shouldBeAbleToRegister","should Be Able To register",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5912","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"broken","Wed Mar 08 19:54:46 GMT 2023","Wed Mar 08 19:54:46 GMT 2023","2","All Test Suite","/home/wesamhamed/Desktop/training/Todo_App/TodoApplicationProject","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","setUp","setUp",""
"passed","Sat Jul 15 18:38:12 GMT 2023","Sat Jul 15 18:38:14 GMT 2023","2062","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"passed","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:45 GMT 2023","6397","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Mon Mar 13 18:31:48 GMT 2023","Mon Mar 13 18:31:51 GMT 2023","3096","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Fri Jul 14 12:02:52 GMT 2023","Fri Jul 14 12:03:53 GMT 2023","60783","Default Suite","TodoApplicationProject","com.qacart.todo.testcases.login.LoginTest","com.qacart.todo.testcases.login.LoginTest","shouldBeAbleToLoginWithEmailAndPassword","Should be able to login with email and password","It will login by filling the email and the password and navigate to the todo page"
"passed","Sat Jul 15 18:38:03 GMT 2023","Sat Jul 15 18:38:12 GMT 2023","8888","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.register.RegisterTest","com.qacart.todo.testcases.GUIs.register.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"passed","Sat Jul 15 18:38:15 GMT 2023","Sat Jul 15 18:38:17 GMT 2023","1453","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldNotBeAbleToRegisterWithTheSameEmail","should Not Be Able To Login With The Same Email",""
"broken","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:48 GMT 2023","8961","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldNotBeAbleToRegisterWithTheSameEmail","should Not Be Able To Register With The Same Email",""
"passed","Sat Jul 15 18:38:12 GMT 2023","Sat Jul 15 18:38:13 GMT 2023","1412","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToAddTodo","should Be Able To Add Todo",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:05 GMT 2023","9553","Surefire suite","Surefire test","com.qacart.todo.testcases.RegisterTest","com.qacart.todo.testcases.RegisterTest","shouldNotBeAbleToRegisterWithTheRegisteredEmail","should Not Be Able To Login With The registered Email","It will try register with the registered email"
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","5913","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.UserApiTest","com.qacart.todo.testcases.apis.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Mon Mar 13 18:31:45 GMT 2023","Mon Mar 13 18:31:48 GMT 2023","2999","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldBeAbleToAddTodo","should Be Able To Add Todo",""
"passed","Sat Jul 15 18:38:13 GMT 2023","Sat Jul 15 18:38:15 GMT 2023","1227","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"passed","Sat Jul 15 18:38:12 GMT 2023","Sat Jul 15 18:38:14 GMT 2023","2097","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.todo.TodoApiTest","com.qacart.todo.testcases.apis.todo.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Mon Mar 13 18:31:39 GMT 2023","Mon Mar 13 18:31:41 GMT 2023","1814","Surefire suite","Surefire test","com.qacart.todo.testcases.UserApiTest","com.qacart.todo.testcases.UserApiTest","shouldBeAbleToRegister","should Be Able To Register",""
"passed","Sun May 07 21:30:56 GMT 2023","Sun May 07 21:31:02 GMT 2023","6107","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoTest","com.qacart.todo.testcases.TodoTest","shouldBeAbleToDeleteTodo","Should be able to delete a todo correctly",""
"passed","Sat Jul 15 18:38:14 GMT 2023","Sat Jul 15 18:38:16 GMT 2023","1719","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldBeAbleToLogin","should Be Able To Login",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","6558","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldBeAbleToDeleteTodoByID","should Be Able To Delete Todo By ID",""
"passed","Sat Jul 15 18:38:03 GMT 2023","Sat Jul 15 18:38:12 GMT 2023","8514","Surefire suite","Surefire test","com.qacart.todo.testcases.GUIs.todo.TodoTest","com.qacart.todo.testcases.GUIs.todo.TodoTest","shouldBeAbleToAddNewTodo","Should be able to add a new todo correctly",""
"passed","Sun May 07 21:30:45 GMT 2023","Sun May 07 21:30:51 GMT 2023","6560","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.TodoApiTest","com.qacart.todo.testcases.apis.TodoApiTest","shouldBeAbleToGetATodoByID","should Be Able To Get A Todo By ID",""
"broken","Mon Mar 13 18:31:51 GMT 2023","Mon Mar 13 18:31:53 GMT 2023","2242","Surefire suite","Surefire test","com.qacart.todo.testcases.TodoApiTest","com.qacart.todo.testcases.TodoApiTest","shouldNotBeAbleToAddTodoIfIsCompletedMissing","should Not Be Able To Add Todo If Is Completed Missing",""
"passed","Sat Jul 15 18:38:15 GMT 2023","Sat Jul 15 18:38:15 GMT 2023","735","Surefire suite","Surefire test","com.qacart.todo.testcases.apis.user.UserApiTest","com.qacart.todo.testcases.apis.user.UserApiTest","shouldBeAbleToRegister","should Be Able To register",""
